family,model,layer,head,delta_ioi,delta_anti,abs_delta_ioi,abs_delta_anti,strength,category
pythia,pythia-160m,11,3,0.0,-0.0461631417274475,0.0,0.0461631417274475,0.0461631417274475,weak
pythia,pythia-160m,11,6,-0.1042568683624267,0.0,0.1042568683624267,0.0,0.1042568683624267,ioi_only
pythia,pythia-160m,11,7,0.0,-0.1855682730674743,0.0,0.1855682730674743,0.1855682730674743,anti_only
pythia,pythia-160m,12,1,0.0,-0.0504066944122314,0.0,0.0504066944122314,0.0504066944122314,anti_only
pythia,pythia-160m,12,5,0.0,-0.1833739876747131,0.0,0.1833739876747131,0.1833739876747131,anti_only
pythia,pythia-410m,0,3,-0.2027997970581054,0.0,0.2027997970581054,0.0,0.2027997970581054,ioi_only
pythia,pythia-410m,0,4,0.0,-0.3513792157173157,0.0,0.3513792157173157,0.3513792157173157,anti_only
pythia,pythia-410m,0,5,0.0,-0.1476923823356628,0.0,0.1476923823356628,0.1476923823356628,anti_only
pythia,pythia-410m,0,11,-0.4311950206756592,0.0,0.4311950206756592,0.0,0.4311950206756592,ioi_only
pythia,pythia-410m,1,0,0.0,-0.1724777817726135,0.0,0.1724777817726135,0.1724777817726135,anti_only
pythia,pythia-410m,1,2,0.0,-0.0746189951896667,0.0,0.0746189951896667,0.0746189951896667,anti_only
pythia,pythia-410m,1,13,-0.1120288372039794,0.0,0.1120288372039794,0.0,0.1120288372039794,ioi_only
pythia,pythia-410m,2,1,-0.1022953987121582,0.0,0.1022953987121582,0.0,0.1022953987121582,ioi_only
pythia,pythia-410m,2,4,0.0,-0.0895041227340698,0.0,0.0895041227340698,0.0895041227340698,anti_only
pythia,pythia-410m,2,5,0.0,-0.4707749485969543,0.0,0.4707749485969543,0.4707749485969543,anti_only
pythia,pythia-410m,2,8,-0.1057062149047851,0.0,0.1057062149047851,0.0,0.1057062149047851,ioi_only
pythia,pythia-410m,3,4,-0.0980308055877685,-0.1482321619987487,0.0980308055877685,0.1482321619987487,0.2462629675865172,shared
pythia,pythia-410m,3,5,0.0,-0.5574000477790833,0.0,0.5574000477790833,0.5574000477790833,anti_only
pythia,pythia-410m,3,6,0.0,-0.1963221430778503,0.0,0.1963221430778503,0.1963221430778503,anti_only
pythia,pythia-410m,4,0,0.0,-0.5259249806404114,0.0,0.5259249806404114,0.5259249806404114,anti_only
pythia,pythia-410m,4,1,0.0,-0.4760230183601379,0.0,0.4760230183601379,0.4760230183601379,anti_only
pythia,pythia-410m,4,2,-0.3276699781417846,0.0,0.3276699781417846,0.0,0.3276699781417846,ioi_only
pythia,pythia-410m,4,3,0.0,-0.2348769307136535,0.0,0.2348769307136535,0.2348769307136535,anti_only
pythia,pythia-410m,4,5,0.0,-0.2131379246711731,0.0,0.2131379246711731,0.2131379246711731,anti_only
pythia,pythia-410m,4,6,-0.2292877435684204,-0.2139435410499572,0.2292877435684204,0.2139435410499572,0.4432312846183776,shared
pythia,pythia-410m,4,11,-0.115308403968811,0.0,0.115308403968811,0.0,0.115308403968811,ioi_only
pythia,pythia-410m,4,13,-0.2598797082901001,0.0,0.2598797082901001,0.0,0.2598797082901001,ioi_only
pythia,pythia-410m,5,0,0.0,-0.1878109574317932,0.0,0.1878109574317932,0.1878109574317932,anti_only
pythia,pythia-410m,5,1,0.0,-0.6885338425636292,0.0,0.6885338425636292,0.6885338425636292,anti_only
pythia,pythia-410m,5,2,-0.6198322772979736,0.0,0.6198322772979736,0.0,0.6198322772979736,ioi_only
pythia,pythia-410m,5,4,-0.1036394834518432,0.0,0.1036394834518432,0.0,0.1036394834518432,ioi_only
pythia,pythia-410m,5,6,0.0,-0.2648505568504333,0.0,0.2648505568504333,0.2648505568504333,anti_only
pythia,pythia-410m,5,7,0.0,-0.2314826846122741,0.0,0.2314826846122741,0.2314826846122741,anti_only
pythia,pythia-410m,5,13,-0.338462233543396,0.0,0.338462233543396,0.0,0.338462233543396,ioi_only
pythia,pythia-410m,6,1,0.0,-0.3059865832328796,0.0,0.3059865832328796,0.3059865832328796,anti_only
pythia,pythia-410m,6,2,0.0,-0.3751377463340759,0.0,0.3751377463340759,0.3751377463340759,anti_only
pythia,pythia-410m,6,12,-0.1062111854553222,0.0,0.1062111854553222,0.0,0.1062111854553222,ioi_only
pythia,pythia-410m,7,0,0.0,-0.1297380328178405,0.0,0.1297380328178405,0.1297380328178405,anti_only
pythia,pythia-410m,7,5,-0.1285246610641479,-0.05703866481781,0.1285246610641479,0.05703866481781,0.1855633258819579,shared
pythia,pythia-410m,8,1,-0.140700101852417,-0.0750486254692077,0.140700101852417,0.0750486254692077,0.2157487273216247,shared
pythia,pythia-410m,8,2,-0.1739534139633178,0.0,0.1739534139633178,0.0,0.1739534139633178,ioi_only
pythia,pythia-410m,8,3,0.0,-0.0431219935417175,0.0,0.0431219935417175,0.0431219935417175,weak
pythia,pythia-410m,8,5,-0.1081666946411132,-0.0627950429916381,0.1081666946411132,0.0627950429916381,0.1709617376327513,shared
pythia,pythia-410m,8,6,-0.1565133333206176,0.0,0.1565133333206176,0.0,0.1565133333206176,ioi_only
pythia,pythia-410m,9,0,0.0,-0.2654035687446594,0.0,0.2654035687446594,0.2654035687446594,anti_only
pythia,pythia-410m,9,1,-0.1827338933944702,0.0,0.1827338933944702,0.0,0.1827338933944702,ioi_only
pythia,pythia-410m,9,3,0.0,-0.1370392441749572,0.0,0.1370392441749572,0.1370392441749572,anti_only
pythia,pythia-410m,9,4,-0.1249186992645263,0.0,0.1249186992645263,0.0,0.1249186992645263,ioi_only
pythia,pythia-410m,9,6,0.0,-0.1761439442634582,0.0,0.1761439442634582,0.1761439442634582,anti_only
pythia,pythia-410m,9,7,0.0,-0.0972632765769958,0.0,0.0972632765769958,0.0972632765769958,anti_only
pythia,pythia-410m,9,9,-0.1242028474807739,0.0,0.1242028474807739,0.0,0.1242028474807739,ioi_only
pythia,pythia-410m,9,11,-0.1499397754669189,0.0,0.1499397754669189,0.0,0.1499397754669189,ioi_only
pythia,pythia-410m,9,13,-0.1065863370895385,0.0,0.1065863370895385,0.0,0.1065863370895385,ioi_only
pythia,pythia-410m,10,0,-0.1701120138168335,-0.0443130135536193,0.1701120138168335,0.0443130135536193,0.2144250273704528,ioi_only
pythia,pythia-410m,10,3,-0.1460665464401245,-0.0501511096954345,0.1460665464401245,0.0501511096954345,0.19621765613555903,shared
pythia,pythia-410m,10,4,0.0,-0.1185479760169982,0.0,0.1185479760169982,0.1185479760169982,anti_only
pythia,pythia-410m,10,5,0.0,-0.0485670566558837,0.0,0.0485670566558837,0.0485670566558837,weak
pythia,pythia-410m,10,6,0.0,-0.0758398175239563,0.0,0.0758398175239563,0.0758398175239563,anti_only
pythia,pythia-410m,10,7,-0.3460824489593506,-0.0493994355201721,0.3460824489593506,0.0493994355201721,0.3954818844795227,ioi_only
pythia,pythia-410m,10,12,-0.1049743890762329,0.0,0.1049743890762329,0.0,0.1049743890762329,ioi_only
pythia,pythia-410m,11,0,-0.0974875688552856,-0.0603016018867492,0.0974875688552856,0.0603016018867492,0.1577891707420348,shared
pythia,pythia-410m,11,3,-0.212782621383667,-0.0461631417274475,0.212782621383667,0.0461631417274475,0.2589457631111145,ioi_only
pythia,pythia-410m,11,5,-0.1508247852325439,0.0,0.1508247852325439,0.0,0.1508247852325439,ioi_only
pythia,pythia-410m,11,7,0.0,-0.1855682730674743,0.0,0.1855682730674743,0.1855682730674743,anti_only
pythia,pythia-410m,11,12,-0.104777455329895,0.0,0.104777455329895,0.0,0.104777455329895,ioi_only
pythia,pythia-410m,11,13,-0.1336348056793213,0.0,0.1336348056793213,0.0,0.1336348056793213,ioi_only
pythia,pythia-410m,12,1,-0.2198706865310669,-0.0504066944122314,0.2198706865310669,0.0504066944122314,0.2702773809432983,shared
pythia,pythia-410m,12,5,0.0,-0.1833739876747131,0.0,0.1833739876747131,0.1833739876747131,anti_only
pythia,pythia-410m,12,12,-0.3889616727828979,0.0,0.3889616727828979,0.0,0.3889616727828979,ioi_only
pythia,pythia-410m,13,0,-0.1490477323532104,0.0,0.1490477323532104,0.0,0.1490477323532104,ioi_only
pythia,pythia-410m,14,4,-0.149582028388977,0.0,0.149582028388977,0.0,0.149582028388977,ioi_only
pythia,pythia-410m,15,2,-0.1909528970718383,0.0,0.1909528970718383,0.0,0.1909528970718383,ioi_only
pythia,pythia-410m,15,11,-0.2432583570480346,0.0,0.2432583570480346,0.0,0.2432583570480346,ioi_only
pythia,pythia-410m,17,10,-0.1397455930709839,0.0,0.1397455930709839,0.0,0.1397455930709839,ioi_only
pythia,pythia-1b,0,0,-0.4920898377895355,0.0,0.4920898377895355,0.0,0.4920898377895355,ioi_only
pythia,pythia-1b,0,1,-0.1122975647449493,0.0,0.1122975647449493,0.0,0.1122975647449493,ioi_only
pythia,pythia-1b,0,3,-0.1090204417705535,0.0,0.1090204417705535,0.0,0.1090204417705535,ioi_only
pythia,pythia-1b,0,4,-0.3465963304042816,-0.3513792157173157,0.3465963304042816,0.3513792157173157,0.6979755461215973,shared
pythia,pythia-1b,0,5,0.0,-0.1476923823356628,0.0,0.1476923823356628,0.1476923823356628,anti_only
pythia,pythia-1b,1,0,-0.1862031817436218,-0.1724777817726135,0.1862031817436218,0.1724777817726135,0.3586809635162353,shared
pythia,pythia-1b,1,2,0.0,-0.0746189951896667,0.0,0.0746189951896667,0.0746189951896667,anti_only
pythia,pythia-1b,1,3,-0.297468900680542,0.0,0.297468900680542,0.0,0.297468900680542,ioi_only
pythia,pythia-1b,1,6,-0.3603558838367462,0.0,0.3603558838367462,0.0,0.3603558838367462,ioi_only
pythia,pythia-1b,1,7,-0.1897198259830474,0.0,0.1897198259830474,0.0,0.1897198259830474,ioi_only
pythia,pythia-1b,2,0,-0.8737691342830658,0.0,0.8737691342830658,0.0,0.8737691342830658,ioi_only
pythia,pythia-1b,2,2,-0.3325676321983337,0.0,0.3325676321983337,0.0,0.3325676321983337,ioi_only
pythia,pythia-1b,2,4,-0.1238029897212982,-0.0895041227340698,0.1238029897212982,0.0895041227340698,0.213307112455368,shared
pythia,pythia-1b,2,5,0.0,-0.4707749485969543,0.0,0.4707749485969543,0.4707749485969543,anti_only
pythia,pythia-1b,2,7,-0.4282715022563934,0.0,0.4282715022563934,0.0,0.4282715022563934,ioi_only
pythia,pythia-1b,3,1,-0.1613912284374237,0.0,0.1613912284374237,0.0,0.1613912284374237,ioi_only
pythia,pythia-1b,3,2,-0.2812411487102508,0.0,0.2812411487102508,0.0,0.2812411487102508,ioi_only
pythia,pythia-1b,3,3,-0.2382739782333374,0.0,0.2382739782333374,0.0,0.2382739782333374,ioi_only
pythia,pythia-1b,3,4,-0.1364735513925552,-0.1482321619987487,0.1364735513925552,0.1482321619987487,0.2847057133913039,shared
pythia,pythia-1b,3,5,-1.7290535867214205,-0.5574000477790833,1.7290535867214205,0.5574000477790833,2.2864536345005035,shared
pythia,pythia-1b,3,6,-0.5584746301174164,-0.1963221430778503,0.5584746301174164,0.1963221430778503,0.7547967731952667,shared
pythia,pythia-1b,3,7,-0.3219645619392395,0.0,0.3219645619392395,0.0,0.3219645619392395,ioi_only
pythia,pythia-1b,4,0,-0.1466470807790756,-0.5259249806404114,0.1466470807790756,0.5259249806404114,0.672572061419487,shared
